attendance_rate,assignment_average,quiz_average,exam_average,study_hours,late_submissions,absences,engagement_score,risk_status
100.0,87.0,73.2,90.1,9.5,1,1,94.6,On Track
76.5,63.4,64.9,65.2,3.4,5,10,70.7,At Risk
88.0,58.1,82.6,68.1,7.6,4,6,80.7,At Risk
85.6,84.6,82.3,89.8,10.7,0,3,86.0,On Track
86.1,81.5,91.0,74.1,2.4,2,4,71.9,On Track
93.6,85.7,77.0,62.3,9.3,3,3,85.8,On Track
75.2,72.7,77.9,67.8,5.3,4,12,42.5,At Risk
96.4,68.0,71.9,69.8,8.7,1,0,85.2,On Track
88.8,75.2,86.7,79.6,6.5,0,0,77.6,On Track
88.9,80.6,65.9,83.8,11.4,2,2,80.0,On Track
92.0,79.4,57.1,63.8,9.5,3,4,67.0,On Track
94.3,67.8,84.6,77.5,7.3,1,5,87.3,On Track
77.9,78.0,71.3,70.4,5.9,2,12,69.3,On Track
85.8,68.3,73.2,61.2,6.8,4,4,65.4,At Risk
100.0,75.5,99.2,83.9,11.3,1,0,90.2,On Track
92.0,69.9,80.8,86.1,7.7,4,4,94.6,On Track
83.0,74.5,61.9,75.6,10.6,5,4,79.0,On Track
88.1,85.1,64.4,94.6,8.2,1,2,82.5,On Track
77.1,64.4,53.7,40.6,3.9,5,3,50.5,At Risk
100.0,95.8,97.6,89.8,13.2,0,0,100.0,On Track
80.5,59.4,47.0,49.9,7.4,3,6,60.9,At Risk
78.0,72.7,78.8,58.6,7.3,2,7,81.0,On Track
86.4,74.5,64.5,64.5,8.3,3,5,69.3,On Track
88.7,71.4,80.5,68.9,6.0,5,3,61.2,At Risk
97.1,59.9,71.3,92.6,7.9,3,2,59.8,On Track
79.4,79.1,72.6,72.6,4.5,5,5,94.2,At Risk
92.6,76.6,74.0,74.9,12.8,3,1,86.9,On Track
83.8,68.9,52.9,72.9,8.4,4,6,81.7,At Risk
88.3,69.4,75.9,67.0,8.5,2,4,76.6,On Track
79.9,73.8,84.8,71.6,2.3,2,8,75.6,At Risk
78.6,72.9,59.6,68.7,6.6,2,9,72.0,At Risk
95.9,99.7,100.0,97.8,15.2,0,3,100.0,On Track
85.6,100.0,74.2,85.1,12.5,3,5,92.9,On Track
95.8,76.6,78.5,72.9,8.5,1,1,60.3,On Track
79.6,69.1,77.4,64.9,8.2,0,8,80.5,At Risk
86.5,93.3,71.0,68.2,11.1,3,5,64.4,On Track
88.2,60.8,57.5,76.2,6.3,7,8,67.4,At Risk
94.4,75.2,75.8,88.4,5.2,2,3,78.3,On Track
93.4,64.6,77.4,80.9,4.6,3,3,78.9,On Track
83.2,62.9,90.0,74.3,9.6,2,5,73.2,On Track
72.2,66.9,66.7,66.8,9.4,5,10,68.4,At Risk
93.2,96.7,81.2,77.5,12.4,3,4,80.0,On Track
85.4,62.6,70.9,63.8,8.6,1,4,80.3,On Track
97.0,83.9,79.6,95.1,11.1,1,1,88.0,On Track
86.0,74.2,98.7,77.5,9.0,2,1,80.9,On Track
99.1,73.4,85.3,82.0,9.9,3,2,79.4,On Track
72.7,65.5,65.6,57.7,6.3,4,9,77.1,At Risk
91.5,69.8,85.5,70.0,4.2,3,1,80.7,At Risk
90.5,87.6,82.0,71.7,7.6,1,6,71.4,On Track
71.4,58.5,58.7,51.9,5.2,6,9,56.7,At Risk
92.3,85.4,61.4,60.1,4.8,6,4,75.2,At Risk
81.7,72.2,80.8,74.4,8.0,1,5,83.5,On Track
95.3,86.2,92.0,90.8,13.1,2,1,92.5,On Track
100.0,84.2,83.3,77.0,9.8,2,0,91.2,On Track
100.0,80.1,78.8,86.2,10.6,5,2,85.2,On Track
80.6,53.3,62.3,61.9,5.8,4,8,71.8,At Risk
89.8,81.3,70.8,59.1,6.8,6,5,67.3,On Track
62.3,52.5,40.0,50.1,1.0,8,15,50.1,At Risk
68.9,57.3,64.5,43.2,5.4,6,15,57.0,At Risk
84.6,62.1,70.0,53.0,6.1,4,3,51.7,At Risk
100.0,100.0,82.4,100.0,11.5,0,2,92.5,On Track
93.0,91.7,68.4,71.8,11.9,3,8,96.2,On Track
91.2,81.9,69.9,69.5,7.6,2,1,76.2,On Track
87.7,65.4,64.8,76.6,4.4,1,6,78.1,At Risk
85.6,74.1,66.4,70.3,6.5,2,6,72.8,On Track
86.9,88.5,93.0,90.0,7.2,2,4,74.1,On Track
78.1,70.2,75.7,64.3,5.2,1,4,69.1,At Risk
100.0,74.4,78.2,88.6,8.0,2,0,84.9,On Track
81.0,80.7,75.0,73.1,4.5,6,8,65.8,At Risk
97.5,69.9,68.5,59.5,7.0,5,5,71.9,At Risk
90.4,84.8,84.7,86.8,10.5,4,4,70.6,On Track
87.8,74.4,71.2,73.0,5.5,6,5,60.2,On Track
84.5,81.9,72.2,76.3,7.5,3,5,80.2,On Track
100.0,89.1,88.0,67.8,6.7,2,1,66.3,On Track
80.8,73.3,49.6,56.7,7.1,4,8,63.4,At Risk
92.6,79.4,85.0,78.8,9.8,3,6,74.4,On Track
87.4,69.0,77.0,84.8,8.5,4,4,71.8,On Track
81.0,79.6,71.5,53.5,4.1,3,4,76.0,On Track
78.3,68.5,66.8,67.3,4.2,5,12,63.3,At Risk
99.2,88.9,86.9,95.9,11.1,2,1,89.0,On Track
87.9,57.4,75.7,45.4,5.0,4,5,65.8,At Risk
77.2,83.6,79.3,59.4,4.5,5,4,68.4,At Risk
82.7,59.4,77.4,63.4,6.0,6,8,53.7,At Risk
83.5,85.0,82.5,80.5,10.5,4,8,78.2,On Track
87.9,78.9,82.9,74.5,6.9,5,4,88.8,On Track
81.8,81.7,81.8,77.8,12.1,3,5,72.6,On Track
96.4,82.8,92.4,91.1,8.5,0,3,81.8,On Track
84.6,87.2,80.0,68.7,11.2,1,3,91.4,On Track
74.7,68.6,56.7,63.8,6.4,4,9,71.8,At Risk
90.7,75.6,76.6,75.8,8.5,3,2,79.4,On Track
76.3,80.2,70.7,74.9,6.4,4,5,62.6,At Risk
77.8,73.5,86.0,56.7,8.8,5,8,63.1,At Risk
80.7,78.8,70.5,48.3,10.8,4,7,64.9,At Risk
77.6,69.2,75.6,72.4,6.7,4,6,71.8,At Risk
82.4,73.2,69.9,95.9,14.4,4,7,71.2,On Track
99.4,84.5,87.2,94.9,6.6,1,0,92.9,On Track
87.7,74.7,79.3,69.3,9.4,4,7,69.2,On Track
82.2,80.2,83.2,76.3,7.8,0,8,82.8,On Track
69.9,64.1,65.0,65.3,7.1,4,9,64.0,At Risk
89.6,73.6,72.5,63.1,3.9,4,6,71.3,At Risk
86.1,71.4,58.6,99.3,8.0,4,5,65.3,On Track
82.2,80.5,76.9,78.9,9.3,2,6,75.0,On Track
77.5,68.8,67.1,59.7,6.2,2,7,69.0,At Risk
76.0,68.0,62.9,77.4,5.1,3,5,78.0,At Risk
92.9,93.0,96.8,82.3,10.2,2,5,74.3,On Track
86.3,78.1,88.0,77.3,10.1,2,4,80.8,On Track
77.2,100.0,82.0,71.7,9.6,2,4,85.0,On Track
84.4,67.1,66.9,65.8,5.2,3,8,76.0,At Risk
84.4,75.0,71.8,59.7,8.3,3,2,75.5,On Track
88.2,75.1,64.2,84.0,11.2,5,6,59.9,At Risk
76.2,66.8,68.2,47.2,2.9,6,8,60.5,At Risk
91.5,83.3,68.2,83.4,9.4,3,4,75.1,On Track
84.1,73.6,66.3,64.1,1.0,4,3,64.7,At Risk
98.7,95.4,63.5,90.8,7.1,1,2,94.0,On Track
83.0,57.6,82.9,85.4,9.7,3,6,77.8,On Track
87.4,81.7,67.3,80.7,13.0,3,5,69.8,On Track
75.1,84.3,75.6,70.0,3.8,5,6,79.7,At Risk
81.1,79.1,79.4,73.2,12.3,6,6,93.0,On Track
78.4,67.4,65.8,63.0,7.0,6,7,55.5,At Risk
86.7,71.8,69.8,60.5,7.2,5,4,61.9,At Risk
73.7,65.2,62.5,44.3,4.1,5,11,65.9,At Risk
77.4,93.9,82.6,84.5,8.4,0,9,79.9,On Track
81.3,78.2,74.8,88.5,7.6,2,6,53.6,On Track
83.3,84.6,81.6,85.4,12.7,4,7,77.7,On Track
78.0,68.7,74.7,66.7,2.5,2,4,83.4,At Risk
88.2,79.5,74.7,68.2,7.9,3,6,85.8,On Track
87.2,76.0,81.0,72.7,6.0,4,3,65.5,On Track
92.3,75.4,67.1,86.7,10.4,1,3,82.1,On Track
97.8,92.9,88.9,84.4,11.2,1,1,100.0,On Track
83.0,79.3,86.2,65.9,11.5,0,6,80.4,On Track
87.2,77.7,77.8,64.0,9.3,2,3,84.7,On Track
93.5,83.9,62.7,86.4,5.1,0,0,71.3,On Track
87.1,73.9,71.2,79.9,5.6,2,5,81.1,On Track
86.8,80.1,72.2,73.7,9.9,3,4,65.5,On Track
84.2,69.8,84.1,79.8,8.1,6,9,70.9,At Risk
76.5,71.7,76.5,60.2,6.0,4,7,67.2,At Risk
88.2,87.0,89.7,81.0,8.4,2,3,83.5,On Track
91.1,100.0,87.5,84.1,11.6,2,2,83.8,On Track
87.1,76.7,73.4,63.6,6.1,4,8,57.5,At Risk
98.1,98.9,76.4,100.0,11.0,3,1,85.7,On Track
90.1,62.1,70.9,59.5,10.6,5,1,65.8,At Risk
66.9,57.9,63.2,51.1,2.4,5,9,41.5,At Risk
88.0,76.4,74.9,76.3,9.0,1,5,67.8,On Track
